base_asset_id,decision_status,approved_coingecko_id,expected_candidate_name,expected_candidate_symbol,evidence_basis,evidence_source_url,observed_kraken_name,observed_kraken_ticker,evidence_scope,review_note
ESX,APPROVED,estatex,EstateX,esx,KRAKEN_MICA_HISTORY_NAME_TICKER,https://www.kraken.com/legal/mica-whitepapers/history,EstateX,ESX,decommissioned 2026-02-27,Kraken historical registry preserves EstateX (ESX); AF-002 candidate matches.
ETHW,APPROVED,ethereum-pow-iou,EthereumPoW,ethw,KRAKEN_HISTORICAL_LISTING_NAME_TICKER,https://blog.kraken.com/product/asset-listings/ethereumpow-ethw-trading-starts-now-token-distribution,EthereumPoW,ETHW,2022 listing and trading pairs,Kraken explicitly identifies EthereumPoW (ETHW); AF-002 candidate matches.
EURR,APPROVED,stablr-euro,StablR Euro,eurr,KRAKEN_ASSET_PAGE_NAME_TICKER,https://www.kraken.com/prices/stablr-euro,Stablr Euro,EURR,current page,Kraken identifies Stablr Euro (EURR); capitalization variation is non-semantic.
FHE,APPROVED,mind-network,Mind Network,fhe,KRAKEN_ASSET_PAGE_NAME_TICKER,https://www.kraken.com/prices/mind-network,Mind Network,FHE,current page,Kraken identifies Mind Network (FHE); AF-002 candidate matches.
GARI,APPROVED,gari-network,Gari Network,gari,KRAKEN_ASSET_PAGE_NAME_TICKER,https://www.kraken.com/prices/gari-network,Gari Network,GARI,current page and 2022 listing history,Kraken identifies Gari Network (GARI); AF-002 candidate matches.
HIPPO,APPROVED,sudeng,sudeng,hippo,KRAKEN_ASSET_PAGE_NAME_TICKER,https://www.kraken.com/prices/sudeng,sudeng,HIPPO,current page,Kraken identifies sudeng (HIPPO); AF-002 candidate matches.
ICX,APPROVED,icon,ICON,icx,KRAKEN_ASSET_PAGE_NAME_TICKER,https://www.kraken.com/prices/icon,ICON,ICX,current page with long history,Kraken identifies ICON (ICX); AF-002 candidate matches.
JAILSTOOL,APPROVED,stool-prisondente,Stool Prisondente,jailstool,KRAKEN_HISTORICAL_LISTING_NAME_TICKER,https://blog.kraken.com/product/asset-listings/jailstool-is-available-for-trading,Stool Prisondente,JAILSTOOL,2025-02-09 listing before Q2,Kraken explicitly listed Stool Prisondente (JAILSTOOL); AF-002 candidate matches.
KAR,APPROVED,karura,Karura,kar,KRAKEN_HISTORICAL_LISTING_NAME_TICKER,https://blog.kraken.com/news/karura-kar-trading-starts-july-20-deposit-now,Karura,KAR,2021 listing,Kraken explicitly identifies Karura (KAR); AF-002 candidate matches.
KILT,APPROVED,kilt-protocol-2,KILT Protocol [OLD],kilt,KRAKEN_HISTORICAL_LISTING_NAME_TICKER,https://blog.kraken.com/product/trading-for-toke-movr-pha-and-more-starts-now-for-the-usa-and-ca,Kilt Protocol,KILT,2022 historical listing,AF-002 points to CoinGecko historical KILT record; Kraken historical listing identifies the same KILT Protocol ticker.
LOCKIN,APPROVED,lock-in,LOCK IN,lockin,KRAKEN_ASSET_PAGE_NAME_TICKER,https://www.kraken.com/prices/lock-in,LOCK IN,LOCKIN,current page with 2025 history,Kraken identifies LOCK IN (LOCKIN); AF-002 candidate matches.
LPT,APPROVED,livepeer,Livepeer,lpt,KRAKEN_ASSET_PAGE_NAME_TICKER,https://www.kraken.com/prices/livepeer,Livepeer,LPT,current page,Kraken identifies Livepeer (LPT); AF-002 candidate matches.
MICHI,APPROVED,michi,michi,michi,KRAKEN_MICA_HISTORY_NAME_TICKER,https://www.kraken.com/legal/mica-whitepapers/history,Michi,MICHI,decommissioned 2026-05-01,Kraken historical registry preserves Michi (MICHI); AF-002 candidate matches ignoring case.
MKR,APPROVED,maker,Maker,mkr,KRAKEN_ASSET_PAGE_NAME_TICKER,https://www.kraken.com/prices/maker,Maker,MKR,current page,Kraken identifies Maker (MKR); AF-002 candidate matches.
MNGO,APPROVED,mango-markets,Mango,mngo,KRAKEN_ASSET_PAGE_NAME_TICKER,https://www.kraken.com/prices/mango-markets,Mango Markets,MNGO,current page,Kraken identifies Mango Markets (MNGO); AF-002 candidate ID is mango-markets and name variant Mango.
MSOL,APPROVED,msol,Marinade Staked SOL,msol,KRAKEN_ASSET_PAGE_NAME_TICKER,https://www.kraken.com/prices/marinade-staked-sol,Marinade staked SOL,MSOL,current page and 2022 listing history,Kraken identifies Marinade staked SOL (MSOL); AF-002 candidate matches.
MV,APPROVED,gensokishis-metaverse,GensoKishi Metaverse,mv,KRAKEN_ASSET_PAGE_NAME_TICKER,https://www.kraken.com/prices/gensokishi-metaverse,GensoKishi Metaverse,MV,current page with 2025 history,Kraken identifies GensoKishi Metaverse (MV); AF-002 candidate matches.
MXC,APPROVED,mxc,MXC,mxc,KRAKEN_HISTORICAL_LISTING_NAME_TICKER,https://blog.kraken.com/product/trading-for-egld-farm-forth-and-more-starts-june-16-deposit-now,MXC,MXC,2022 listing,Kraken explicitly listed MXC (MXC); AF-002 candidate matches.
NODL,APPROVED,nodle-network,Nodle Network,nodl,KRAKEN_ASSET_PAGE_NAME_TICKER,https://www.kraken.com/prices/nodle-network,Nodle Network,NODL,current page,Kraken identifies Nodle Network (NODL); AF-002 candidate matches.
NTRN,APPROVED,neutron-3,Neutron,ntrn,KRAKEN_ASSET_PAGE_NAME_TICKER,https://www.kraken.com/prices/neutron,Neutron,NTRN,current page,Kraken identifies Neutron (NTRN); AF-002 candidate matches.
NYM,APPROVED,nym,Nym,nym,KRAKEN_ASSET_PAGE_NAME_TICKER,https://www.kraken.com/prices/nym,Nym,NYM,current page and 2022 listing history,Kraken identifies Nym (NYM); AF-002 candidate matches.
OXY,APPROVED,oxygen,Oxygen (Solana),oxy,KRAKEN_ASSET_PAGE_NAME_TICKER,https://www.kraken.com/prices/oxygen,Oxygen,OXY,current page,Kraken identifies Oxygen (OXY); AF-002 candidate specifies the Solana asset with same ticker/project.
PDA,APPROVED,playdapp,PlayDapp,pda,KRAKEN_ASSET_PAGE_NAME_TICKER,https://www.kraken.com/prices/playdapp,PlayDapp,PDA,current page,Kraken identifies PlayDapp (PDA); AF-002 candidate matches.
PSTAKE,APPROVED,pstake-finance,pSTAKE Finance,pstake,KRAKEN_ASSET_PAGE_NAME_TICKER,https://www.kraken.com/prices/pstake-finance,pSTAKE Finance,PSTAKE,current page,Kraken identifies pSTAKE Finance (PSTAKE); AF-002 candidate matches.
SAHARA,APPROVED,sahara-ai,Sahara AI,sahara,KRAKEN_ASSET_PAGE_NAME_TICKER,https://www.kraken.com/prices/sahara-ai,Sahara AI,SAHARA,current page with 2025 history,Kraken identifies Sahara AI (SAHARA); AF-002 candidate matches.
SPICE,APPROVED,spice-2,Spice,spice,KRAKEN_MICA_HISTORY_NAME_TICKER,https://www.kraken.com/legal/mica-whitepapers/history,Spice,SPICE,decommissioned 2026-05-29,Kraken historical registry preserves Spice (SPICE); AF-002 candidate matches.
SWARMS,APPROVED,swarms,Swarms,swarms,KRAKEN_ASSET_PAGE_NAME_TICKER,https://www.kraken.com/prices/swarms,Swarms,SWARMS,current page,Kraken identifies Swarms (SWARMS); AF-002 candidate matches.
TBTC,APPROVED,tbtc,tBTC,tbtc,KRAKEN_ASSET_PAGE_NAME_TICKER,https://www.kraken.com/prices/tbtc,tBTC,TBTC,current page,Kraken identifies tBTC (TBTC); AF-002 candidate matches.
TEER,APPROVED,integritee,Integritee,teer,KRAKEN_ASSET_PAGE_NAME_TICKER,https://www.kraken.com/prices/integritee,Integritee,TEER,current page and 2022 listing history,Kraken identifies Integritee (TEER); AF-002 candidate matches.
TITCOIN,APPROVED,titcoin-2,Titcoin,titcoin,KRAKEN_MICA_HISTORY_NAME_TICKER,https://www.kraken.com/legal/mica-whitepapers/history,Titcoin,TITCOIN,decommissioned 2026-06-29,Kraken historical registry preserves Titcoin (TITCOIN); AF-002 candidate matches.
WAXL,APPROVED,wrapped-axelar,Wrapped Axelar,waxl,KRAKEN_ASSET_PAGE_NAME_TICKER,https://www.kraken.com/prices/wrapped-axelar,Wrapped Axelar,WAXL,current page and 2022 listing history,Kraken identifies Wrapped Axelar (WAXL); AF-002 candidate matches.
YGG,APPROVED,yield-guild-games,Yield Guild Games,ygg,KRAKEN_ASSET_PAGE_NAME_TICKER,https://www.kraken.com/prices/yield-guild-games,Yield Guild Games,YGG,current page,Kraken identifies Yield Guild Games (YGG); AF-002 candidate matches.
BIT,APPROVED,bitdao,BitDAO,bit,KRAKEN_HISTORICAL_LISTING_NAME_TICKER,https://blog.kraken.com/product/trading-for-adx-bit-chr-and-more-starts-june-9-deposit-now,BitDAO,BIT,2022 listing,Kraken explicitly listed BitDAO (BIT); selects AF-002 bitdao over same-ticker alternatives.
BNC,APPROVED,bifrost-native-coin,Bifrost,bnc,KRAKEN_HISTORICAL_LISTING_NAME_TICKER,https://blog.kraken.com/product/trading-for-toke-movr-pha-and-more-starts-now-for-the-usa-and-ca,Bifrost,BNC,2022 listing,Kraken explicitly identifies Bifrost (BNC); selects AF-002 bifrost-native-coin.
BSX,APPROVED,basilisk,Basilisk,bsx,KRAKEN_HISTORICAL_LISTING_NAME_TICKER,https://blog.kraken.com/product/trading-for-toke-movr-pha-and-more-starts-now-for-the-usa-and-ca,Basilisk,BSX,2022 listing,Kraken historical listing identifies Basilisk (BSX); selects AF-002 basilisk.
CLV,APPROVED,clover-finance,Clover Finance,clv,KRAKEN_HISTORICAL_LISTING_NAME_TICKER,https://blog.kraken.com/product/asset-listings/acx-clv-and-flux-are-available-for-trading,Clover Finance,CLV,2025-02-05 listing before Q2,Kraken explicitly listed Clover Finance (CLV); selects AF-002 clover-finance.
FARM,APPROVED,harvest-finance,Harvest Finance,farm,KRAKEN_HISTORICAL_LISTING_NAME_TICKER,https://blog.kraken.com/product/asset-listings/trading-for-ens-and-farm-starts-now-for-usa-and-ca,Harvest Finance,FARM,2022 listing,Kraken explicitly identifies Harvest Finance (FARM); selects AF-002 harvest-finance.
KEY,APPROVED,selfkey,SelfKey,key,KRAKEN_HISTORICAL_LISTING_NAME_TICKER,https://blog.kraken.com/product/trading-for-btt-dent-key-and-unfi-starts-july-1-deposit-now,SelfKey,KEY,2022 listing,Kraken explicitly identifies SelfKey (KEY); selects AF-002 selfkey.
KIN,APPROVED,kin,Kin,kin,KRAKEN_ASSET_PAGE_NAME_TICKER,https://www.kraken.com/prices/kin,Kin,KIN,current page with 2025 history,Kraken identifies Kin (KIN); selects AF-002 kin over Kindred Labs.
ME,APPROVED,magic-eden,Magic Eden,me,KRAKEN_ASSET_PAGE_NAME_TICKER,https://www.kraken.com/prices/magic-eden,Magic Eden,ME,current page,Kraken identifies Magic Eden (ME); selects AF-002 magic-eden.
MOVE,APPROVED,movement,Movement,move,KRAKEN_ASSET_PAGE_NAME_TICKER,https://www.kraken.com/prices/movement,Movement,MOVE,current page,Kraken identifies Movement (MOVE); selects AF-002 movement.
STEP,APPROVED,step-finance,Step Finance,step,KRAKEN_ASSET_PAGE_NAME_TICKER,https://www.kraken.com/prices/step-finance,Step Finance,STEP,current page,Kraken identifies Step Finance (STEP); selects AF-002 step-finance.
STRD,APPROVED,stride,Stride,strd,KRAKEN_ASSET_PAGE_NAME_TICKER,https://www.kraken.com/prices/stride,Stride,STRD,current page,Kraken identifies Stride (STRD); selects AF-002 stride over tokenized-stock collision.
USDR,APPROVED,stablr-usd,StablR USD,usdr,KRAKEN_ASSET_PAGE_NAME_TICKER,https://www.kraken.com/prices/stablr-usd,Stablr USD,USDR,current page,Kraken identifies Stablr USD (USDR); selects AF-002 stablr-usd.
ZAUD,NOT_APPLICABLE,,,,AF001_FIAT_BASE_IDENTITY,candidate-analysis/ASRP-Q2-Pair-Identity-Frozen-v1.0.0.csv,Australian Dollar,AUD,Q2 AF-001 identity,CoinGecko crypto mapping is not applicable to fiat base AUD.
ZEUR,NOT_APPLICABLE,,,,AF001_FIAT_BASE_IDENTITY,candidate-analysis/ASRP-Q2-Pair-Identity-Frozen-v1.0.0.csv,Euro,EUR,Q2 AF-001 identity,CoinGecko crypto mapping is not applicable to fiat base EUR.
ZGBP,NOT_APPLICABLE,,,,AF001_FIAT_BASE_IDENTITY,candidate-analysis/ASRP-Q2-Pair-Identity-Frozen-v1.0.0.csv,Pound Sterling,GBP,Q2 AF-001 identity,CoinGecko crypto mapping is not applicable to fiat base GBP.
ZUSD,NOT_APPLICABLE,,,,AF001_FIAT_BASE_IDENTITY,candidate-analysis/ASRP-Q2-Pair-Identity-Frozen-v1.0.0.csv,US Dollar,USD,Q2 AF-001 identity,CoinGecko crypto mapping is not applicable to fiat base USD.
