"base_asset_id","alias_text","alias_type","source_requires_crypto_context","observed_documents","strict_context_sample_rows","semantic_decision","evidence_type","evidence_reference","decision_note"
"EOS","EOS","manual_core_name","True","293","3","APPROVED_ALIAS_IDENTITY","GDELT_HIGH_CONFIDENCE_CRYPTO_CONTEXT_SAMPLE","docs/evidence/stage2-alias-context-sample-evidence.csv","At least one bounded GDELT recovery sample satisfies the conservative diagnostic context rule; strict_rule_rows=3. This approves alias identity only, not the Stage 3 matching rule."
"FET","Artificial Superintelligence Alliance","manual_core_name","False","41","10","APPROVED_ALIAS_IDENTITY","GDELT_HIGH_CONFIDENCE_CRYPTO_CONTEXT_SAMPLE","docs/evidence/stage2-alias-context-sample-evidence.csv","At least one bounded GDELT recovery sample satisfies the conservative diagnostic context rule; strict_rule_rows=10. This approves alias identity only, not the Stage 3 matching rule."
"FIL","Filecoin","manual_core_name","False","26","7","APPROVED_ALIAS_IDENTITY","GDELT_HIGH_CONFIDENCE_CRYPTO_CONTEXT_SAMPLE","docs/evidence/stage2-alias-context-sample-evidence.csv","At least one bounded GDELT recovery sample satisfies the conservative diagnostic context rule; strict_rule_rows=7. This approves alias identity only, not the Stage 3 matching rule."
"ICP","Internet Computer","manual_core_name","False","49","8","APPROVED_ALIAS_IDENTITY","GDELT_HIGH_CONFIDENCE_CRYPTO_CONTEXT_SAMPLE","docs/evidence/stage2-alias-context-sample-evidence.csv","At least one bounded GDELT recovery sample satisfies the conservative diagnostic context rule; strict_rule_rows=8. This approves alias identity only, not the Stage 3 matching rule."
"INJ","Injective","manual_core_name","False","11","11","APPROVED_ALIAS_IDENTITY","GDELT_HIGH_CONFIDENCE_CRYPTO_CONTEXT_SAMPLE","docs/evidence/stage2-alias-context-sample-evidence.csv","At least one bounded GDELT recovery sample satisfies the conservative diagnostic context rule; strict_rule_rows=11. This approves alias identity only, not the Stage 3 matching rule."
"LINK","Chainlink","manual_core_name","False","116","6","APPROVED_ALIAS_IDENTITY","GDELT_HIGH_CONFIDENCE_CRYPTO_CONTEXT_SAMPLE","docs/evidence/stage2-alias-context-sample-evidence.csv","At least one bounded GDELT recovery sample satisfies the conservative diagnostic context rule; strict_rule_rows=6. This approves alias identity only, not the Stage 3 matching rule."
"MKR","MakerDAO","manual_core_name","False","0","0","APPROVED_ALIAS_IDENTITY","OFFICIAL_PROJECT_CORROBORATION","https://makerdao.com/en/","Official MakerDAO material identifies MKR holders as governing the Maker Protocol and states MakerDAO is now Sky; MakerDAO is an approved operational news alias for MKR. Collision/context handling remains a Stage 3 requirement."
"NEAR","Near Protocol","manual_core_name","False","47","10","APPROVED_ALIAS_IDENTITY","GDELT_HIGH_CONFIDENCE_CRYPTO_CONTEXT_SAMPLE","docs/evidence/stage2-alias-context-sample-evidence.csv","At least one bounded GDELT recovery sample satisfies the conservative diagnostic context rule; strict_rule_rows=10. This approves alias identity only, not the Stage 3 matching rule."
"OP","Optimism","manual_core_name","True","2317","0","APPROVED_ALIAS_IDENTITY","OFFICIAL_PROJECT_CORROBORATION","https://specs.optimism.io/governance/gov-token.html","Official OP Stack specification identifies token name Optimism and token symbol OP. Collision/context handling remains a Stage 3 requirement."
"PEPE","Pepe","manual_core_name","True","532","6","APPROVED_ALIAS_IDENTITY","GDELT_HIGH_CONFIDENCE_CRYPTO_CONTEXT_SAMPLE","docs/evidence/stage2-alias-context-sample-evidence.csv","At least one bounded GDELT recovery sample satisfies the conservative diagnostic context rule; strict_rule_rows=6. This approves alias identity only, not the Stage 3 matching rule."
"POL","Polygon","manual_core_name","True","92","9","APPROVED_ALIAS_IDENTITY","GDELT_HIGH_CONFIDENCE_CRYPTO_CONTEXT_SAMPLE","docs/evidence/stage2-alias-context-sample-evidence.csv","At least one bounded GDELT recovery sample satisfies the conservative diagnostic context rule; strict_rule_rows=9. This approves alias identity only, not the Stage 3 matching rule."
"RENDER","Render Network","manual_core_name","False","28","6","APPROVED_ALIAS_IDENTITY","GDELT_HIGH_CONFIDENCE_CRYPTO_CONTEXT_SAMPLE","docs/evidence/stage2-alias-context-sample-evidence.csv","At least one bounded GDELT recovery sample satisfies the conservative diagnostic context rule; strict_rule_rows=6. This approves alias identity only, not the Stage 3 matching rule."
"SHIB","Shiba Inu","manual_core_name","False","873","9","APPROVED_ALIAS_IDENTITY","GDELT_HIGH_CONFIDENCE_CRYPTO_CONTEXT_SAMPLE","docs/evidence/stage2-alias-context-sample-evidence.csv","At least one bounded GDELT recovery sample satisfies the conservative diagnostic context rule; strict_rule_rows=9. This approves alias identity only, not the Stage 3 matching rule."
"SOL","Solana","manual_core_name","False","1009","9","APPROVED_ALIAS_IDENTITY","GDELT_HIGH_CONFIDENCE_CRYPTO_CONTEXT_SAMPLE","docs/evidence/stage2-alias-context-sample-evidence.csv","At least one bounded GDELT recovery sample satisfies the conservative diagnostic context rule; strict_rule_rows=9. This approves alias identity only, not the Stage 3 matching rule."
"SUI","Sui","manual_core_name","True","508","4","APPROVED_ALIAS_IDENTITY","GDELT_HIGH_CONFIDENCE_CRYPTO_CONTEXT_SAMPLE","docs/evidence/stage2-alias-context-sample-evidence.csv","At least one bounded GDELT recovery sample satisfies the conservative diagnostic context rule; strict_rule_rows=4. This approves alias identity only, not the Stage 3 matching rule."
"TAO","Bittensor","manual_core_name","False","45","11","APPROVED_ALIAS_IDENTITY","GDELT_HIGH_CONFIDENCE_CRYPTO_CONTEXT_SAMPLE","docs/evidence/stage2-alias-context-sample-evidence.csv","At least one bounded GDELT recovery sample satisfies the conservative diagnostic context rule; strict_rule_rows=11. This approves alias identity only, not the Stage 3 matching rule."
"TIA","Celestia","manual_core_name","False","18","10","APPROVED_ALIAS_IDENTITY","GDELT_HIGH_CONFIDENCE_CRYPTO_CONTEXT_SAMPLE","docs/evidence/stage2-alias-context-sample-evidence.csv","At least one bounded GDELT recovery sample satisfies the conservative diagnostic context rule; strict_rule_rows=10. This approves alias identity only, not the Stage 3 matching rule."
"TON","Toncoin","manual_core_name","False","46","9","APPROVED_ALIAS_IDENTITY","GDELT_HIGH_CONFIDENCE_CRYPTO_CONTEXT_SAMPLE","docs/evidence/stage2-alias-context-sample-evidence.csv","At least one bounded GDELT recovery sample satisfies the conservative diagnostic context rule; strict_rule_rows=9. This approves alias identity only, not the Stage 3 matching rule."
"TRX","Tron","manual_core_name","True","475","4","APPROVED_ALIAS_IDENTITY","GDELT_HIGH_CONFIDENCE_CRYPTO_CONTEXT_SAMPLE","docs/evidence/stage2-alias-context-sample-evidence.csv","At least one bounded GDELT recovery sample satisfies the conservative diagnostic context rule; strict_rule_rows=4. This approves alias identity only, not the Stage 3 matching rule."
"UNI","Uniswap","manual_core_name","False","59","8","APPROVED_ALIAS_IDENTITY","GDELT_HIGH_CONFIDENCE_CRYPTO_CONTEXT_SAMPLE","docs/evidence/stage2-alias-context-sample-evidence.csv","At least one bounded GDELT recovery sample satisfies the conservative diagnostic context rule; strict_rule_rows=8. This approves alias identity only, not the Stage 3 matching rule."
"USDC","USD Coin","manual_core_name","False","6","6","APPROVED_ALIAS_IDENTITY","GDELT_HIGH_CONFIDENCE_CRYPTO_CONTEXT_SAMPLE","docs/evidence/stage2-alias-context-sample-evidence.csv","At least one bounded GDELT recovery sample satisfies the conservative diagnostic context rule; strict_rule_rows=6. This approves alias identity only, not the Stage 3 matching rule."
"USDT","Tether","manual_core_name","True","224","12","APPROVED_ALIAS_IDENTITY","GDELT_HIGH_CONFIDENCE_CRYPTO_CONTEXT_SAMPLE","docs/evidence/stage2-alias-context-sample-evidence.csv","At least one bounded GDELT recovery sample satisfies the conservative diagnostic context rule; strict_rule_rows=12. This approves alias identity only, not the Stage 3 matching rule."
"XETC","Ethereum Classic","manual_core_name","False","49","10","APPROVED_ALIAS_IDENTITY","GDELT_HIGH_CONFIDENCE_CRYPTO_CONTEXT_SAMPLE","docs/evidence/stage2-alias-context-sample-evidence.csv","At least one bounded GDELT recovery sample satisfies the conservative diagnostic context rule; strict_rule_rows=10. This approves alias identity only, not the Stage 3 matching rule."
"XETH","Ethereum","manual_core_name","False","1347","10","APPROVED_ALIAS_IDENTITY","GDELT_HIGH_CONFIDENCE_CRYPTO_CONTEXT_SAMPLE","docs/evidence/stage2-alias-context-sample-evidence.csv","At least one bounded GDELT recovery sample satisfies the conservative diagnostic context rule; strict_rule_rows=10. This approves alias identity only, not the Stage 3 matching rule."
"XLTC","Litecoin","manual_core_name","False","126","11","APPROVED_ALIAS_IDENTITY","GDELT_HIGH_CONFIDENCE_CRYPTO_CONTEXT_SAMPLE","docs/evidence/stage2-alias-context-sample-evidence.csv","At least one bounded GDELT recovery sample satisfies the conservative diagnostic context rule; strict_rule_rows=11. This approves alias identity only, not the Stage 3 matching rule."
"XXBT","Bitcoin","manual_core_name","False","9619","12","APPROVED_ALIAS_IDENTITY","GDELT_HIGH_CONFIDENCE_CRYPTO_CONTEXT_SAMPLE","docs/evidence/stage2-alias-context-sample-evidence.csv","At least one bounded GDELT recovery sample satisfies the conservative diagnostic context rule; strict_rule_rows=12. This approves alias identity only, not the Stage 3 matching rule."
"XXBT","BTC","manual_core_symbol","True","1785","11","APPROVED_ALIAS_IDENTITY","GDELT_HIGH_CONFIDENCE_CRYPTO_CONTEXT_SAMPLE","docs/evidence/stage2-alias-context-sample-evidence.csv","At least one bounded GDELT recovery sample satisfies the conservative diagnostic context rule; strict_rule_rows=11. This approves alias identity only, not the Stage 3 matching rule."
"XXDG","DOGE","manual_core_symbol","True","16102","0","APPROVED_ALIAS_IDENTITY","OFFICIAL_PROJECT_CORROBORATION","https://foundation.dogecoin.com/announcements/2022-09-12-wdoge-bridge/","Official Dogecoin Foundation material uses Doge as shorthand for Dogecoin; case-insensitive DOGE is approved as a contextual symbol alias. Collision/context handling remains a Stage 3 requirement."
"XXDG","Dogecoin","manual_core_name","False","1031","9","APPROVED_ALIAS_IDENTITY","GDELT_HIGH_CONFIDENCE_CRYPTO_CONTEXT_SAMPLE","docs/evidence/stage2-alias-context-sample-evidence.csv","At least one bounded GDELT recovery sample satisfies the conservative diagnostic context rule; strict_rule_rows=9. This approves alias identity only, not the Stage 3 matching rule."
"XXLM","Stellar","manual_core_name","True","1186","0","APPROVED_ALIAS_IDENTITY","OFFICIAL_PROJECT_CORROBORATION","https://resources.stellar.org/hubfs/Asset_Issuance_on_Stellar.pdf","Official Stellar material identifies lumens (XLM) as the native currency of Stellar; Stellar is an approved operational news alias for XLM. Collision/context handling remains a Stage 3 requirement."
"XXMR","Monero","manual_core_name","False","52","12","APPROVED_ALIAS_IDENTITY","GDELT_HIGH_CONFIDENCE_CRYPTO_CONTEXT_SAMPLE","docs/evidence/stage2-alias-context-sample-evidence.csv","At least one bounded GDELT recovery sample satisfies the conservative diagnostic context rule; strict_rule_rows=12. This approves alias identity only, not the Stage 3 matching rule."
"XXRP","Ripple","manual_core_name","False","1199","5","APPROVED_ALIAS_IDENTITY","GDELT_HIGH_CONFIDENCE_CRYPTO_CONTEXT_SAMPLE","docs/evidence/stage2-alias-context-sample-evidence.csv","At least one bounded GDELT recovery sample satisfies the conservative diagnostic context rule; strict_rule_rows=5. This approves alias identity only, not the Stage 3 matching rule."
