"base_asset_id","kraken_q2_name","kraken_q2_ticker","candidate_id","candidate_name","candidate_symbol","match_score","match_reasons","already_in_af002","kraken_evidence_url","evidence_note"
"XXBT","Bitcoin","XBT","bitcoin-ai-2","Bitcoin AI","btc","60","EXACT_SEED_SYMBOL","False","https://www.kraken.com/prices/bitcoin","Kraken identifies Bitcoin; Q2 AF-001 uses legacy Kraken base XBT."
"XXBT","Bitcoin","XBT","bitcoin-base","Bitcoin Base","btc","60","EXACT_SEED_SYMBOL","False","https://www.kraken.com/prices/bitcoin","Kraken identifies Bitcoin; Q2 AF-001 uses legacy Kraken base XBT."
"XXBT","Bitcoin","XBT","bitcoin-second-chance","Bitcoin Second Chance","btc","60","EXACT_SEED_SYMBOL","False","https://www.kraken.com/prices/bitcoin","Kraken identifies Bitcoin; Q2 AF-001 uses legacy Kraken base XBT."
"XXBT","Bitcoin","XBT","bobby-the-cat","Bobby The Cat","btc","60","EXACT_SEED_SYMBOL","False","https://www.kraken.com/prices/bitcoin","Kraken identifies Bitcoin; Q2 AF-001 uses legacy Kraken base XBT."
"XXBT","Bitcoin","XBT","bobby-the-cat-2","Bobby The Cat","btc","60","EXACT_SEED_SYMBOL","False","https://www.kraken.com/prices/bitcoin","Kraken identifies Bitcoin; Q2 AF-001 uses legacy Kraken base XBT."
"XXBT","Bitcoin","XBT","mezo-wrapped-btc","Mezo Wrapped BTC","btc","60","EXACT_SEED_SYMBOL","False","https://www.kraken.com/prices/bitcoin","Kraken identifies Bitcoin; Q2 AF-001 uses legacy Kraken base XBT."
"XXBT","Bitcoin","XBT","near-intents-bridged-btc","NEAR Intents Bridged BTC","btc","60","EXACT_SEED_SYMBOL","False","https://www.kraken.com/prices/bitcoin","Kraken identifies Bitcoin; Q2 AF-001 uses legacy Kraken base XBT."
"XXBT","Bitcoin","XBT","osmosis-allbtc","Osmosis allBTC","btc","60","EXACT_SEED_SYMBOL","False","https://www.kraken.com/prices/bitcoin","Kraken identifies Bitcoin; Q2 AF-001 uses legacy Kraken base XBT."
"XXBT","Bitcoin","XBT","xbt","XBT","xbt","60","EXACT_SEED_SYMBOL","True","https://www.kraken.com/prices/bitcoin","Kraken identifies Bitcoin; Q2 AF-001 uses legacy Kraken base XBT."
"XXDG","Dogecoin","XDG","dogecoin","Dogecoin","doge","100","EXACT_SEED_NAME|EXACT_SEED_SYMBOL","False","https://www.kraken.com/prices/dogecoin","Kraken identifies Dogecoin; Q2 AF-001 uses legacy Kraken base XDG."
"XXDG","Dogecoin","XDG","binance-peg-dogecoin","Binance-Peg Dogecoin","doge","60","EXACT_SEED_SYMBOL","False","https://www.kraken.com/prices/dogecoin","Kraken identifies Dogecoin; Q2 AF-001 uses legacy Kraken base XDG."
"XXDG","Dogecoin","XDG","department-of-gov-efficiency","Department of Gov Efficiency","doge","60","EXACT_SEED_SYMBOL","False","https://www.kraken.com/prices/dogecoin","Kraken identifies Dogecoin; Q2 AF-001 uses legacy Kraken base XDG."
"XXDG","Dogecoin","XDG","department-of-government-efficiency","Department Of Government Efficiency","doge","60","EXACT_SEED_SYMBOL","False","https://www.kraken.com/prices/dogecoin","Kraken identifies Dogecoin; Q2 AF-001 uses legacy Kraken base XDG."
"XXDG","Dogecoin","XDG","department-of-government-efficiency-2","Department Of Government Efficiency","doge","60","EXACT_SEED_SYMBOL","False","https://www.kraken.com/prices/dogecoin","Kraken identifies Dogecoin; Q2 AF-001 uses legacy Kraken base XDG."
"XXDG","Dogecoin","XDG","department-of-government-efficiency-4","Department Of Government Efficiency","doge","60","EXACT_SEED_SYMBOL","False","https://www.kraken.com/prices/dogecoin","Kraken identifies Dogecoin; Q2 AF-001 uses legacy Kraken base XDG."
"XXDG","Dogecoin","XDG","doonlygoodeveryday","DoOnlyGoodEveryday","doge","60","EXACT_SEED_SYMBOL","False","https://www.kraken.com/prices/dogecoin","Kraken identifies Dogecoin; Q2 AF-001 uses legacy Kraken base XDG."
