"base_asset_id","base_exchange_symbol","market_pair_count_observed","market_observation_count_observed","current_candidate_count","current_candidate_ids","current_candidate_names","pair_count_status","observation_count_status","exchange_symbol_status","candidate_json_parse_status","candidate_json_count_status","candidate_id_set_status","candidate_json_sha256_status","source_mapping_approved","cfa_mapping_decision","cfa_mapping_review_state"
"BABY","BABY","2","9274","9","a-fund-baby|baby|baby-2|babylon|baby-samo-coin|babyswap|dancing-baby|deer-seized-by-us-government|niche-baby","A Fund Baby|BABY|Baby|Baby Samo Coin|Babylon|BabySwap|Dancing Baby|Deer Seized by US Government|Niche Baby","PASS","PASS","PASS","PASS","PASS","PASS","PASS","False","UNVERIFIED","UNVERIFIED_AMBIGUOUS_CANDIDATES"
"SHIB","SHIB","4","98277","8","binance-peg-shib|niccagewaluigielmo42069inu|shiba-inu|shiba-inu-wormhole|shiba-on-base|shib-on-solana|shibwifhatcoin|strategic-hub-for-innovation-in-blockchain","Binance-Peg SHIB|NicCageWaluigiElmo42069Inu|SHIB ON SOLANA|Shiba Inu|Shiba Inu (Wormhole)|SHIBA ON BASE|Shibwifhatcoin|Strategic Hub for Innovation in Blockchain","PASS","PASS","PASS","PASS","PASS","PASS","PASS","False","UNVERIFIED","UNVERIFIED_AMBIGUOUS_CANDIDATES"
"GOAT","GOAT","2","28915","8","absolute-goat|goatcoin-2|goatseus-maximus|goatseus-maximus-on-eth|goat-trading|greatestofavaxtrenches|sonic-the-goat|wild-goat-coin-2-2","Absolute Goat|Goat Trading|Goatcoin|Goatcoin|Goatseus Maximus|Goatseus Maximus|GreatestOfAVAXTrenches|Sonic The Goat","PASS","PASS","PASS","PASS","PASS","PASS","PASS","False","UNVERIFIED","UNVERIFIED_AMBIGUOUS_CANDIDATES"
"WIF","WIF","3","79192","7","dogwifcoin|dogwifhat-base|dogwifhood|robinwifhat|wif-on-eth|wif-secondchance|world-is-flat","DogWifHat|dogwifhat|DOGWIFHOOD|RobinWifHat|Wif - SecondChance|WIF on ETH|World is Flat","PASS","PASS","PASS","PASS","PASS","PASS","PASS","False","UNVERIFIED","UNVERIFIED_AMBIGUOUS_CANDIDATES"
"ZEUS","ZEUS","2","20547","7","ansems-dog|pepes-dog|zeus-3|zeus-4|zeus-ai|zeus-network|zeuspepesdog","Ansems Dog|Pepes Dog|Zeus|Zeus|ZEUS|Zeus AI|Zeus Network","PASS","PASS","PASS","PASS","PASS","PASS","PASS","False","UNVERIFIED","UNVERIFIED_AMBIGUOUS_CANDIDATES"
"ALPHA","ALPHA","2","9500","7","alpha-3|alpha-4|alpha-6|alphaarc|alphablockai|alpha-fi|alpha-finance","Alpha|Alpha|Alpha Fi|AlphaArc|AlphaBlockAI|Reject Modernity|Stella","PASS","PASS","PASS","PASS","PASS","PASS","PASS","False","UNVERIFIED","UNVERIFIED_AMBIGUOUS_CANDIDATES"
"DUCK","DUCK","2","3130","7","appduck-by-virtuals|dlp-duck-token|duckchain-token|duckcoin|duck-token|lemonade-stand-duck|the-duck","AppDuck by Virtuals|DLP Duck|Duck Token|DuckChain Token|DuckCoin|Lemonade Stand Duck|The Duck","PASS","PASS","PASS","PASS","PASS","PASS","PASS","False","UNVERIFIED","UNVERIFIED_AMBIGUOUS_CANDIDATES"
"DEGEN","DEGEN","2","2064","7","degen-arena|degen-base|degenerate|degen-social-media|degenstogether|degen-the-otter-3|degen-the-otter-4","Degen|Degen Arena|Degen Social Media|Degen the Otter|Degen the Otter|Degenerate|DegensTogether","PASS","PASS","PASS","PASS","PASS","PASS","PASS","False","UNVERIFIED","UNVERIFIED_AMBIGUOUS_CANDIDATES"
"TURBO","TURBO","2","51663","6","based-turbo|turbo|turbodex|turboloop-token|turbo-on-robinhood|turbo-win","Based Turbo|Turbo|Turbo on Robinhood|TURBO.WIN|TurboDEX|TurboLoop Token","PASS","PASS","PASS","PASS","PASS","PASS","PASS","False","UNVERIFIED","UNVERIFIED_AMBIGUOUS_CANDIDATES"
"FLOW","FLOW","2","20746","6","flow|flow-agent|flow-state|pulsechain-flow|robinflow|stake-flow","Flow|Flow Agent|flow state|Pulsechain FLOW|RobinFlow|STAKE FLOW","PASS","PASS","PASS","PASS","PASS","PASS","PASS","False","UNVERIFIED","UNVERIFIED_AMBIGUOUS_CANDIDATES"
"ANON","ANON","2","15749","6","anon-2|anon-ton|anonymous|anonymous-coin-2|heyanon|super-anon","Anon|ANON|anon|Anonymous|Anonymous Coin|Hey Anon","PASS","PASS","PASS","PASS","PASS","PASS","PASS","False","UNVERIFIED","UNVERIFIED_AMBIGUOUS_CANDIDATES"
"SKY","SKY","2","7663","6","darkcrypto-share|sky|skycastle|skycoin|skydrome|skynet-3","DarkCrypto Share|Sky|Skycastle|Skycoin|Skydrome|Skynet","PASS","PASS","PASS","PASS","PASS","PASS","PASS","False","UNVERIFIED","UNVERIFIED_AMBIGUOUS_CANDIDATES"
"ARC","ARC","2","2133","6","ai-rig-complex|arc|arcadeum|archly-finance|reactor-3|redemption-arc","AI Rig Complex|ARC|Arcadeum|Archly Finance|Reactor|Redemption Arc","PASS","PASS","PASS","PASS","PASS","PASS","PASS","False","UNVERIFIED","UNVERIFIED_AMBIGUOUS_CANDIDATES"
"OMNI","OMNI","2","497","6","omni-2|omnicat|omni-exchange-token|omni-launch|omni-network|omnis-genesis-by-virtuals","Omni|Omni Exchange Token|Omni Launch|Omni Network [Old]|OmniCat|Omnis Genesis by Virtuals","PASS","PASS","PASS","PASS","PASS","PASS","PASS","False","UNVERIFIED","UNVERIFIED_AMBIGUOUS_CANDIDATES"
"XXRP","XRP","10","499160","5","binance-peg-xrp|harrypotterobamapacman8inu|near-intents-bridged-xrp|ripple|warioxrpdumbledoreyugioh69inu","Binance-Peg XRP|HarryPotterObamaPacMan8Inu|NEAR Intents Bridged XRP|WarioXRPDumbledoreYugioh69Inu|XRP","PASS","PASS","PASS","PASS","PASS","PASS","PASS","False","UNVERIFIED","UNVERIFIED_AMBIGUOUS_CANDIDATES"
"DOT","DOT","8","152453","5","binance-peg-polkadot|dot|pippin-s-friend|polkadot|xcdot","Binance-Peg Polkadot|Dot|Pippin's Friend|Polkadot|xcDOT","PASS","PASS","PASS","PASS","PASS","PASS","PASS","False","UNVERIFIED","UNVERIFIED_AMBIGUOUS_CANDIDATES"
"UNI","UNI","4","72938","5","linea-bridged-uni-linea|uni|unicorn-token|uniswap|uniswap-wormhole","Linea Bridged UNI (Linea)|Uni|UNICORN|Uniswap|Uniswap (Wormhole)","PASS","PASS","PASS","PASS","PASS","PASS","PASS","False","UNVERIFIED","UNVERIFIED_AMBIGUOUS_CANDIDATES"
"APU","APU","2","32683","5","apu|apu-apustaja|apu-apustaja-sol|apu-s-club|based-apu","APU|Apu Apustaja|Apu Apustaja|Apu Apustaja (Solana)|Based Apu","PASS","PASS","PASS","PASS","PASS","PASS","PASS","False","UNVERIFIED","UNVERIFIED_AMBIGUOUS_CANDIDATES"
"CLOUD","CLOUD","2","28011","5","cloudai|cloudbase|crypto-clouds|decloud|sanctum-2","Cloud|CloudAI|CloudBase|CRYPTO CLOUD|DeCloud","PASS","PASS","PASS","PASS","PASS","PASS","PASS","False","UNVERIFIED","UNVERIFIED_AMBIGUOUS_CANDIDATES"
"NEIRO","NEIRO","2","19338","5","neiro|neiro-2|neiro-3|neiro-4|neiro-on-tron","Neiro|Neiro|Neiro|Neiro|Neiro on Tron","PASS","PASS","PASS","PASS","PASS","PASS","PASS","False","UNVERIFIED","UNVERIFIED_AMBIGUOUS_CANDIDATES"
"W","W","2","16999","5","victorious|w|w-2|w-coin|wormhole","Victorious|W|W|W coin|Wormhole","PASS","PASS","PASS","PASS","PASS","PASS","PASS","False","UNVERIFIED","UNVERIFIED_AMBIGUOUS_CANDIDATES"
"SIGMA","SIGMA","2","16002","5","csigma-finance|sigma|sigma-2|sigma-3|sigmadotmoney","cSigma Finance|SIGMA|SIGMA|Sigma|SigmaDotMoney","PASS","PASS","PASS","PASS","PASS","PASS","PASS","False","UNVERIFIED","UNVERIFIED_AMBIGUOUS_CANDIDATES"
"MEME","MEME","2","9931","5","1-meme-can-change-your-life|memecoin-2|memetoon|most-elegant-monkey-ever|mpx6900","1 meme can change your life|Memecoin|MEMETOON|MOST ELEGANT MONKEY EVER|MPX6900","PASS","PASS","PASS","PASS","PASS","PASS","PASS","False","UNVERIFIED","UNVERIFIED_AMBIGUOUS_CANDIDATES"
"SAFE","SAFE","2","7731","5","safe|safe-2|safe-anwang|safecoin|safe-coin-2","SAFE|Safe|SAFE(AnWang)|SAFEbit|SafeCoin","PASS","PASS","PASS","PASS","PASS","PASS","PASS","False","UNVERIFIED","UNVERIFIED_AMBIGUOUS_CANDIDATES"
"ALT","ALT","2","6938","5","alitas|alt|altcoin-2|altdeer|altlayer","Alitas|ALT|Altcoin|ALTDeer|AltLayer","PASS","PASS","PASS","PASS","PASS","PASS","PASS","False","UNVERIFIED","UNVERIFIED_AMBIGUOUS_CANDIDATES"
"USDR","USDR","4","1973","5","real-usd|ring-usd|stablr-usd|us-diamond-reserve|usdr","Real USD|Ring USD|StablR USD|US Diamond Reserve|USDR","PASS","PASS","PASS","PASS","PASS","PASS","PASS","False","UNVERIFIED","UNVERIFIED_AMBIGUOUS_CANDIDATES"
"TON","TON","4","129534","4","atnt-ondo-tokenized-stock|tac-bridged-ton-tac|tokamak-network|tontoken","AT&T (Ondo Tokenized Stock)|TAC Bridged TON (TAC)|Tokamak Network|TON Community","PASS","PASS","PASS","PASS","PASS","PASS","PASS","False","UNVERIFIED","UNVERIFIED_AMBIGUOUS_CANDIDATES"
"TRUMP","TRUMP","4","126339","4","bridged-maga-wormhole|maga|meme-trumpcoin|official-trump","Bridged MAGA (Wormhole)|MAGA|Meme TrumpCoin|Official Trump","PASS","PASS","PASS","PASS","PASS","PASS","PASS","False","UNVERIFIED","UNVERIFIED_AMBIGUOUS_CANDIDATES"
"AVAX","AVAX","4","117825","4","avalanche-2|avalanche-wormhole|beam-bridged-avax-beam|binance-peg-avalanche","Avalanche|Avalanche (Wormhole)|Beam Bridged AVAX (Beam)|Binance-Peg Avalanche","PASS","PASS","PASS","PASS","PASS","PASS","PASS","False","UNVERIFIED","UNVERIFIED_AMBIGUOUS_CANDIDATES"
